Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,NETSOS,NETNonConfSOS,Quadrant1,Quadrant2,Quadrant3,Quadrant4
UC San Diego,Big West,252,252,114,144,4-10,0-0,4-10,0-7,140,174,0-2,0-3,1-4,3-1
Quinnipiac,MAAC,253,253,260,217,9-13,7-11,2-2,1-5,332,281,0-0,0-0,1-7,8-6
Youngstown St.,Horizon,254,254,318,235,11-12,10-12,1-0,5-7,309,320,1-1,0-0,1-3,9-8
Tarleton St.,WAC,255,255,222,203,5-10,5-7,0-3,4-7,247,87,0-1,0-1,1-4,4-4
Jackson St.,SWAC,256,256,342,265,12-6,12-1,0-5,5-5,290,75,0-1,0-2,0-2,12-1
Cal St. Fullerton,Big West,257,257,207,197,5-10,5-8,0-2,1-5,213,301,0-2,0-0,2-2,3-6
George Washington,Atlantic 10,258,258,161,172,5-12,4-6,1-6,1-5,170,272,0-1,0-3,2-5,3-3
Sacramento St.,Big Sky,259,260,222,203,6-12,5-10,1-2,3-8,228,179,0-1,0-4,1-3,5-4
Coppin St.,MEAC,260,259,186,189,9-13,8-5,1-8,4-9,187,109,0-3,0-1,3-5,6-4
Ga. Southern,Sun Belt,261,261,244,214,9-13,7-10,2-3,4-8,297,241,0-1,0-1,2-6,7-5
Sacred Heart,NEC,262,262,238,209,9-9,9-8,0-1,5-6,253,4,0-1,0-1,4-4,5-3
Northern Colo.,Big Sky,263,263,252,216,8-11,7-9,1-2,4-5,216,16,0-2,0-1,2-3,6-5
Saint Francis,NEC,264,264,187,190,6-16,5-13,1-3,2-10,207,29,0-1,1-1,1-10,4-4
NJIT,America East,265,265,239,210,7-12,6-11,1-1,4-6,287,277,0-0,1-1,3-6,3-5
Stetson,ASUN,266,266,279,221,9-13,8-10,1-3,3-8,269,125,0-1,0-1,2-5,7-6
Samford,SoCon,267,267,132,156,4-13,2-10,2-3,2-7,158,233,0-1,1-3,1-7,2-2
Portland St.,Big Sky,268,268,279,221,6-12,6-9,0-3,2-6,305,154,0-0,0-2,1-5,5-5
Southern Miss.,CUSA,269,269,178,181,6-17,4-14,2-3,2-9,197,307,0-0,0-5,1-8,5-4
IU Indy,Horizon,270,270,290,224,8-10,7-10,1-0,4-5,326,329,0-0,0-2,2-5,6-3
Long Beach St.,Big West,271,271,211,198,6-12,5-9,1-3,1-8,238,209,0-0,0-3,1-7,5-2
Idaho St.,Big Sky,272,272,312,234,8-11,8-7,0-4,5-5,302,208,0-0,1-2,0-2,7-7
Fairfield,MAAC,273,273,229,206,10-17,10-12,0-5,3-8,308,237,0-0,0-1,5-10,5-6
Green Bay,Horizon,274,274,234,207,8-17,8-13,0-4,2-11,200,38,0-3,0-2,0-4,8-8
William & Mary,CAA,275,275,190,191,7-10,5-7,2-3,5-6,193,160,0-1,1-2,0-5,6-2
Southeast Mo. St.,OVC,276,276,308,233,11-16,9-12,2-4,4-9,325,285,0-0,0-3,1-6,10-7
High Point,Big South,277,277,300,230,9-15,7-12,2-3,4-10,251,213,0-2,0-2,2-5,7-6
Rider,MAAC,278,278,216,201,6-17,6-14,0-3,4-8,262,44,0-2,0-0,2-7,4-8
CSUN,Big West,279,279,190,191,8-13,5-10,3-3,4-4,248,252,0-0,1-2,1-5,6-6
Lehigh,Patriot,280,281,178,181,4-11,4-11,0-0,3-6,237,,0-0,0-1,3-7,1-3
Manhattan,MAAC,281,280,288,223,7-13,6-13,1-0,3-6,322,328,0-0,0-0,1-5,6-8
North Ala.,ASUN,282,282,321,238,9-11,9-9,0-2,3-6,286,135,0-1,0-3,0-0,9-7
Purdue Fort Wayne,Horizon,283,284,312,234,8-15,7-15,1-0,3-9,338,330,0-0,0-0,3-8,5-7
N.C. A&T,MEAC,284,283,300,230,9-10,7-1,2-9,5-6,198,146,0-2,0-1,0-4,9-3
Florida A&M,MEAC,285,285,330,244,8-12,7-6,1-6,4-10,205,42,0-3,0-1,0-2,8-6
Troy,Sun Belt,286,286,187,190,8-17,5-13,3-4,2-11,201,126,0-2,0-3,1-7,7-5
UIC,Horizon,287,287,312,234,9-13,6-11,3-2,2-9,304,224,0-1,0-2,0-3,9-7
Southern U.,SWAC,288,288,342,265,8-11,8-7,0-4,3-7,230,10,0-2,0-1,0-2,8-6
UTRGV,WAC,289,289,285,222,5-10,2-6,3-4,1-5,266,215,0-1,0-0,0-6,5-3
Towson,CAA,290,290,161,172,4-14,3-10,1-4,0-6,189,91,0-1,0-2,1-9,3-2
FGCU,ASUN,291,291,336,250,8-8,5-6,3-2,2-3,345,298,0-0,0-0,1-1,7-7
ULM,Sun Belt,292,292,244,214,7-19,5-14,2-5,2-10,313,263,0-0,0-1,2-7,5-11
New Orleans,Southland,293,293,341,257,9-15,9-8,0-7,2-10,320,189,0-1,0-0,0-6,9-8
Jacksonville,ASUN,294,294,321,238,9-13,5-9,4-4,4-8,324,282,0-0,0-1,0-6,9-6
FIU,CUSA,295,295,195,193,5-17,2-15,3-2,2-9,250,317,0-0,0-2,2-8,3-7
North Florida,ASUN,296,296,276,220,7-14,6-7,1-7,3-10,209,163,0-2,0-2,0-3,7-7
North Dakota,Summit League,297,297,235,208,9-17,8-9,1-8,3-11,245,194,0-1,0-3,2-7,7-6
Binghamton,America East,298,298,212,199,4-14,4-11,0-3,3-5,296,313,0-0,0-0,1-7,3-7
Western Mich.,MAC,299,299,142,162,4-16,4-12,0-4,3-7,160,180,0-2,0-5,1-4,3-5
Grambling,SWAC,300,300,338,255,11-12,10-7,1-5,5-7,282,81,0-2,0-1,1-2,10-7
Central Conn. St.,NEC,301,301,200,195,5-16,5-13,0-3,2-9,242,54,0-1,0-2,2-6,3-7
New Mexico,Mountain West,302,302,167,174,4-16,2-16,2-0,3-8,134,293,0-5,0-2,1-7,3-2
Middle Tenn.,CUSA,303,303,150,165,4-18,3-14,1-4,0-9,172,251,0-0,0-7,0-7,4-4
Eastern Ill.,OVC,304,304,294,228,9-18,6-14,3-4,4-11,246,150,0-1,0-3,1-6,8-8
Hampton,Big South,305,305,338,255,11-14,10-10,1-4,6-7,344,284,0-0,0-0,0-5,11-9
Lamar University,Southland,306,307,291,225,10-18,8-11,2-7,3-11,226,191,0-2,0-3,2-5,8-8
Central Mich.,MAC,307,306,207,197,5-15,3-13,2-2,2-9,206,319,0-1,1-3,0-5,4-6
Maine,America East,308,308,197,194,2-7,2-6,0-1,1-6,220,254,0-0,0-2,0-3,2-2
USC Upstate,Big South,309,309,226,204,5-17,5-12,0-5,2-10,203,60,0-2,0-3,0-5,5-7
Robert Morris,Horizon,310,310,226,204,3-15,3-13,0-2,1-9,232,140,0-2,0-1,0-4,3-8
Northwestern St.,Southland,311,312,276,220,10-18,10-8,0-10,4-12,163,21,0-3,0-4,0-5,10-6
Howard,MEAC,312,311,170,177,1-3,0-0,1-3,0-0,224,259,0-0,0-1,0-1,1-1
Western Ill.,Summit League,313,313,285,222,6-15,5-10,1-5,4-9,240,175,0-1,0-2,0-5,6-7
Presbyterian,Big South,314,314,328,243,6-15,5-13,1-2,2-9,328,314,0-0,0-2,0-5,6-8
Eastern Mich.,MAC,315,315,142,162,3-12,3-11,0-1,1-8,138,18,0-2,0-5,1-2,2-3
Tennessee Tech,OVC,316,316,193,192,5-22,5-15,0-7,0-16,183,55,0-3,0-3,0-10,5-6
Utah Tech,WAC,317,317,264,218,6-13,4-10,2-3,3-6,252,129,0-1,0-1,1-3,5-8
SIUE,OVC,318,318,264,218,8-17,7-13,1-4,6-7,227,123,0-2,1-2,0-6,7-7
Air Force,Mountain West,319,319,132,156,5-20,3-18,2-2,1-9,113,221,0-7,1-3,0-3,4-7
Fordham,Atlantic 10,320,321,99,132,2-12,2-12,0-0,0-6,125,,0-2,0-5,1-3,1-2
Central Ark.,Southland,321,320,181,182,4-19,4-12,0-7,1-14,123,7,0-6,1-1,0-5,3-7
Northern Ariz.,Big Sky,322,322,185,185,6-16,5-11,1-5,4-7,162,30,0-3,0-3,1-6,5-4
Tennessee St.,OVC,323,323,288,223,3-19,3-17,0-2,0-11,301,292,0-0,0-2,0-8,3-9
Omaha,Summit League,324,324,207,197,5-20,3-12,2-8,3-12,156,48,0-4,0-1,0-9,5-6
N.C. Central,MEAC,325,325,312,234,4-9,3-6,1-3,0-6,188,20,0-2,0-0,0-2,4-5
Cal Poly,Big West,326,326,170,177,3-20,2-16,1-4,0-11,186,262,0-2,0-3,0-9,3-6
Portland,WCC,327,327,95,130,3-15,0-12,3-3,1-6,95,192,0-4,1-3,0-5,2-3
Alabama A&M,SWAC,328,328,345,275,6-9,4-9,2-0,1-7,346,311,0-0,0-0,0-2,6-7
Southeastern La.,Southland,329,329,332,245,8-18,6-11,2-7,4-13,261,164,0-2,0-2,0-3,8-11
UIW,Southland,330,330,332,245,5-14,5-10,0-4,3-6,267,93,0-2,0-1,0-3,5-8
Alcorn,SWAC,331,331,300,230,6-13,6-8,0-5,2-9,166,5,0-2,0-3,0-2,6-6
San Jose St.,Mountain West,332,332,119,150,3-16,3-14,0-2,0-8,85,133,0-7,0-2,0-3,3-4
Charleston So.,Big South,333,333,247,215,2-18,2-15,0-3,2-8,276,196,0-1,0-2,0-7,2-8
Houston Christian,Southland,334,334,260,217,5-19,5-12,0-7,1-12,196,70,0-4,0-2,0-4,5-9
Kennesaw St.,ASUN,335,335,222,203,2-19,2-14,0-5,0-9,190,63,0-1,0-5,0-1,2-12
McNeese,Southland,336,336,346,279,4-14,4-11,0-3,3-8,343,204,0-0,0-1,0-3,4-10
NIU,MAC,337,337,170,177,3-16,2-12,1-4,1-9,152,137,0-2,0-4,1-4,2-6
UT Martin,OVC,338,338,247,215,7-16,6-14,1-2,2-9,271,193,0-1,0-2,0-7,7-6
A&M-Corpus Christi,Southland,339,339,270,219,2-19,2-13,0-6,1-10,218,141,0-3,0-1,0-5,2-10
Delaware St.,MEAC,340,340,207,197,1-16,1-11,0-5,0-10,241,172,0-1,0-0,0-7,1-8
Denver,Summit League,341,341,319,236,1-19,1-13,0-6,0-9,333,296,0-0,0-0,0-9,1-10
Ark.-Pine Bluff,SWAC,342,342,264,218,4-21,3-13,1-8,2-17,167,23,0-4,0-2,0-4,4-11
Alabama St.,SWAC,343,343,347,289,4-14,4-14,0-0,1-8,347,,0-0,0-0,0-2,4-12
Idaho,Big Sky,344,344,226,204,1-21,1-18,0-3,0-11,259,97,0-0,0-5,0-4,1-12
South Carolina St.,MEAC,345,345,312,234,1-17,1-7,0-10,0-11,249,190,0-2,0-1,0-4,1-10
Chicago St.,WAC,346,346,132,156,0-9,0-0,0-9,0-7,62,58,0-3,0-2,0-0,0-4
Mississippi Val.,SWAC,347,347,264,218,2-22,2-14,0-8,1-16,179,24,0-3,0-4,0-3,2-12
Yale,Ivy League,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
Bethune-Cookman,MEAC,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
Brown,Ivy League,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
Columbia,Ivy League,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
Cornell,Ivy League,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
Dartmouth,Ivy League,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
Harvard,Ivy League,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
UMES,MEAC,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
Penn,Ivy League,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
Princeton,Ivy League,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
