Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,NETSOS,NETNonConfSOS,Quadrant1,Quadrant2,Quadrant3,Quadrant4
Portland St.,Big Sky,249,248,167,184,10-19,6-12,4-7,5-9,191,86,0-2,0-3,4-8,6-6
UT Martin,OVC,250,251,343,256,15-14,11-9,4-5,4-11,351,241,0-1,0-2,0-3,15-8
UT Arlington,WAC,251,250,99,143,8-21,6-13,2-8,4-9,125,129,0-3,2-4,4-11,2-3
NIU,MAC,252,253,220,202,12-18,9-10,3-8,7-10,142,54,0-3,2-4,0-7,10-4
Idaho St.,Big Sky,253,252,232,205,9-21,8-11,1-10,4-12,271,234,0-0,0-6,3-6,6-9
Winthrop,Big South,254,254,249,209,13-17,10-9,3-8,4-11,253,102,0-2,0-3,4-6,9-6
USC Upstate,Big South,255,256,260,215,14-15,11-9,3-6,4-12,270,110,0-2,0-1,4-8,10-4
Southeastern La.,Southland,256,255,330,246,15-14,12-7,3-7,7-8,299,69,0-1,0-3,2-4,13-6
Southern Ind.,OVC,257,257,336,251,13-16,9-10,4-6,5-11,352,274,0-1,0-0,3-4,10-11
Bellarmine,ASUN,258,258,160,180,12-18,10-10,2-8,6-12,118,15,0-6,0-2,3-6,9-4
Boston U.,Patriot,259,260,324,243,14-17,8-11,6-6,6-11,328,272,0-1,0-2,0-5,14-9
UTRGV,WAC,260,259,135,171,11-17,5-13,6-4,3-10,144,197,0-3,1-3,1-8,9-3
American,Patriot,261,262,350,260,17-15,9-12,8-3,9-9,357,359,0-0,0-1,4-1,13-13
Canisius,MAAC,262,261,244,208,9-20,8-13,1-7,3-12,268,121,0-2,0-3,1-5,8-10
Nicholls,Southland,263,263,312,237,12-15,11-8,1-7,4-12,199,2,0-4,0-2,0-3,12-6
Fairfield,MAAC,264,264,286,225,12-18,9-12,3-6,4-10,290,190,0-2,0-3,2-2,10-11
Rhode Island,Atlantic 10,265,265,136,172,9-22,5-14,4-8,1-10,236,298,0-1,0-5,3-9,6-7
ETSU,SoCon,266,266,253,211,10-20,8-11,2-9,4-9,308,342,0-0,0-3,3-9,7-8
Mount St. Mary's,MAAC,267,269,281,221,12-20,9-13,3-7,7-10,267,203,0-3,0-2,3-3,9-12
New Hampshire,America East,268,268,298,229,13-15,10-8,3-7,4-11,319,318,0-0,0-5,3-4,10-6
Loyola Chicago,Atlantic 10,269,267,148,175,10-21,4-15,6-6,3-8,154,222,0-2,1-5,3-9,6-5
Tennessee Tech,OVC,270,270,312,237,13-17,12-8,1-9,4-11,313,112,0-1,0-3,0-4,13-9
Lafayette,Patriot,271,272,272,219,11-23,9-12,2-11,5-16,255,127,0-2,0-5,2-6,9-10
Oakland,Horizon,272,271,199,194,12-19,11-10,1-9,5-10,201,41,0-2,0-5,3-8,9-4
North Dakota,Summit League,273,273,232,205,11-20,7-13,4-7,4-11,228,184,0-4,0-1,2-7,9-8
Lehigh,Patriot,274,274,316,238,14-14,11-8,3-6,7-8,320,199,0-0,0-5,1-2,13-7
Maine,America East,275,275,267,217,11-17,7-10,4-7,5-12,258,188,0-1,0-6,2-5,9-5
Southern U.,SWAC,276,276,335,250,13-17,11-8,2-9,5-12,245,13,0-4,0-2,0-2,13-9
UC San Diego,Big West,277,277,157,179,8-20,5-13,3-7,6-9,166,152,0-2,1-2,2-12,5-4
Prairie View,SWAC,278,278,329,245,11-19,9-10,2-9,4-14,276,40,0-4,1-0,0-3,10-12
Dartmouth,Ivy League,279,279,185,190,8-18,6-8,2-10,3-11,244,338,1-0,0-4,4-8,3-6
Tennessee St.,OVC,280,280,354,267,14-14,10-9,4-5,4-8,362,348,0-0,0-2,1-2,13-10
Illinois St.,MVC,281,281,223,203,11-21,6-15,5-6,3-9,282,360,0-2,0-4,4-6,7-9
Marist,MAAC,282,282,311,236,13-20,9-15,4-5,4-9,344,362,0-1,0-2,1-5,12-12
Arkansas St.,Sun Belt,283,283,218,201,10-20,5-15,5-5,2-11,265,357,0-0,0-4,1-12,9-4
Bowling Green,MAC,284,284,253,211,9-20,5-13,4-7,4-11,285,352,0-1,0-3,2-9,7-7
UIC,MVC,285,285,218,201,11-20,4-17,7-3,3-11,212,346,0-3,0-6,0-7,11-4
Miami (OH),MAC,286,286,215,199,9-20,6-13,3-7,3-9,218,225,0-2,0-5,1-6,8-7
Denver,Summit League,287,287,324,243,13-17,6-13,7-4,4-11,316,330,0-2,0-1,0-6,13-8
UTSA,CUSA,288,288,116,158,8-22,4-17,4-5,2-11,117,273,0-5,0-5,4-4,4-8
Valparaiso,MVC,289,289,204,195,10-21,5-16,5-5,2-12,186,279,0-2,1-6,0-8,9-5
High Point,Big South,290,290,293,228,12-17,6-13,6-4,2-11,336,291,0-0,1-1,0-8,11-8
Georgia St.,Sun Belt,291,291,152,178,7-21,3-16,4-5,0-11,237,323,0-1,0-3,2-10,5-7
Morgan St.,MEAC,292,293,289,226,11-16,8-8,3-8,3-12,211,35,0-3,1-2,1-4,9-7
Coastal Carolina,Sun Belt,293,294,181,189,8-20,5-14,3-6,3-11,239,276,0-1,0-4,3-7,5-8
Texas Southern(AQ),SWAC,294,292,293,228,12-20,10-11,2-9,3-13,184,4,0-4,1-3,1-2,10-11
Bucknell,Patriot,295,296,338,252,11-20,5-14,6-6,3-13,347,337,0-1,0-1,0-5,11-13
ULM,Sun Belt,296,295,136,172,8-21,7-12,1-9,4-10,127,118,0-2,1-7,2-6,5-6
CSU Bakersfield,Big West,297,297,174,186,9-22,7-15,2-7,3-12,227,259,0-0,0-7,2-10,7-5
South Dakota,Summit League,298,298,223,203,10-19,7-12,3-7,2-11,231,130,0-2,1-3,2-5,7-9
Chicago St.,DI Independent,299,299,236,206,7-20,0-0,7-20,3-20,116,149,0-4,0-4,0-7,7-5
Binghamton,America East,300,300,286,225,11-18,9-9,2-9,5-11,292,275,0-1,0-5,2-5,9-7
FDU,NEC,301,301,363,300,17-15,12-7,5-8,8-9,363,343,0-1,0-0,1-2,16-12
Manhattan,MAAC,302,302,302,231,11-18,10-11,1-7,6-7,302,251,0-3,0-1,2-1,9-13
East Texas A&M,Southland,303,303,343,256,12-20,9-10,3-10,7-13,337,208,0-1,1-0,3-7,8-12
Charleston So.,Big South,304,304,262,216,8-21,6-14,2-7,3-12,289,156,0-1,0-2,1-9,7-9
Jackson St.,SWAC,305,305,312,237,14-19,13-7,1-12,6-14,189,11,0-5,0-2,1-4,13-8
Saint Peter's,MAAC,306,308,309,235,13-18,9-14,4-4,4-11,307,245,0-2,0-2,0-4,13-10
Merrimack(AQ),NEC,307,307,354,267,16-16,15-4,1-12,8-8,340,154,0-2,0-3,0-4,16-7
Cal Poly,Big West,308,306,141,173,6-25,2-19,4-6,1-13,188,230,0-0,0-9,2-9,4-7
Kansas City,Summit League,309,309,232,205,10-20,7-12,3-8,3-11,190,93,0-4,2-1,1-5,7-10
Idaho,Big Sky,310,310,267,217,8-22,4-15,4-7,4-11,341,358,0-0,0-2,4-7,4-13
Wagner,NEC,311,311,362,296,13-13,8-9,5-4,7-9,361,286,0-0,1-2,0-1,12-10
Northeastern,CAA,312,312,262,216,10-20,6-13,4-7,3-12,249,261,0-2,0-4,1-7,9-7
California,Pac-12,313,313,31,103,3-29,2-19,1-10,0-12,58,168,0-9,1-10,1-6,1-4
Stonehill,NEC,314,314,356,268,13-17,10-6,3-11,6-12,323,157,0-3,0-2,0-1,13-11
Louisville,ACC,315,315,61,114,4-28,2-19,2-9,0-11,74,111,0-9,1-6,0-9,3-4
William & Mary,CAA,316,317,257,214,11-20,8-12,3-8,1-14,247,167,0-3,0-3,3-6,8-8
Omaha,Summit League,317,316,187,191,8-23,5-15,3-8,1-15,130,7,0-6,0-3,0-6,8-8
N.C. A&T,CAA,318,318,260,215,10-19,8-11,2-8,4-10,194,47,0-3,1-2,1-8,8-6
Alabama A&M,SWAC,319,319,336,251,12-18,11-9,1-9,5-8,339,138,0-2,0-1,1-4,11-11
Eastern Mich.,MAC,320,320,199,194,7-23,5-13,2-10,2-13,187,243,0-3,0-4,3-5,4-11
Loyola Maryland,Patriot,321,321,316,238,11-20,8-12,3-8,3-13,322,282,0-2,0-2,0-3,11-13
Little Rock,OVC,322,322,334,248,8-21,6-12,2-9,2-16,310,151,0-2,0-2,1-1,7-16
Western Mich.,MAC,323,323,217,200,5-23,4-14,1-9,1-15,160,148,0-2,0-6,1-4,4-11
Tulsa,American,324,324,103,145,5-25,1-18,4-7,0-12,98,253,0-6,0-6,1-9,4-4
Austin Peay,ASUN,325,325,192,192,6-22,3-15,3-7,1-13,163,63,0-3,0-2,1-8,5-9
Sacred Heart,NEC,326,326,360,291,15-17,9-9,6-8,7-11,358,297,0-2,0-1,0-2,15-12
Stony Brook,CAA,327,327,267,217,9-22,7-13,2-9,3-13,226,164,0-3,0-3,0-9,9-7
Coppin St.,MEAC,328,328,229,204,9-23,4-11,5-12,5-16,185,99,0-3,0-3,2-9,7-8
Central Mich.,MAC,329,329,240,207,8-21,5-13,3-8,3-12,224,201,1-2,0-2,0-9,7-8
Central Ark.,ASUN,330,330,212,198,8-22,4-14,4-8,2-13,198,169,0-4,0-2,2-5,6-11
The Citadel,SoCon,331,331,244,208,9-22,5-14,4-8,4-11,257,235,0-2,0-4,2-7,7-9
Ark.-Pine Bluff,SWAC,332,332,306,233,6-21,6-12,0-9,2-16,167,1,0-5,0-1,0-3,6-12
CSUN,Big West,333,333,187,191,5-25,4-17,1-8,0-14,234,258,0-1,0-4,2-10,3-10
NJIT,America East,334,334,302,231,6-23,4-13,2-10,2-15,318,335,0-1,0-3,0-7,6-12
Elon,CAA,335,335,277,220,6-24,6-13,0-11,3-12,277,244,0-3,0-1,0-8,6-12
Saint Francis,NEC,336,336,358,276,11-18,10-8,1-10,3-13,348,179,0-2,0-2,0-2,11-12
Holy Cross,Patriot,337,337,321,242,8-22,7-12,1-10,4-11,342,317,0-1,0-2,1-2,7-17
Lindenwood,OVC,338,338,320,240,8-21,6-13,2-8,2-14,298,95,0-2,0-2,0-3,8-14
McNeese,Southland,339,339,304,232,10-23,8-13,2-10,3-14,203,8,0-4,0-2,1-3,9-14
New Orleans,Southland,340,340,338,252,10-20,9-12,1-8,4-10,314,78,0-2,0-1,1-4,9-13
Columbia,Ivy League,341,341,195,193,5-22,2-12,3-10,1-13,214,309,0-3,1-2,0-8,4-9
UAlbany,America East,342,342,270,218,6-23,3-13,3-10,1-16,241,163,0-3,0-3,1-6,5-11
Central Conn. St.,NEC,343,343,359,278,10-22,7-10,3-12,4-14,359,305,0-1,0-2,0-3,10-16
Eastern Ill.,OVC,344,344,324,243,7-22,5-13,2-9,3-12,321,166,1-2,0-1,1-2,5-17
UIW,Southland,345,345,352,263,9-19,6-12,3-7,3-12,349,247,0-1,0-1,1-4,8-13
Alabama St.,SWAC,346,346,321,242,7-23,6-12,1-11,2-18,242,22,0-4,0-3,0-4,7-12
South Carolina St.,MEAC,347,347,244,208,4-26,2-13,2-13,1-19,229,122,0-2,0-3,2-9,2-12
Bethune-Cookman,SWAC,348,348,349,259,10-20,8-11,2-9,3-13,329,160,0-3,0-0,0-3,10-14
Hampton,CAA,349,349,272,219,7-24,5-14,2-10,1-13,256,256,0-1,0-6,0-7,7-10
Evansville,MVC,350,350,167,184,5-27,1-20,4-7,1-14,200,264,0-2,0-6,0-10,5-9
Monmouth,CAA,351,351,209,197,7-26,6-14,1-12,3-15,164,64,0-2,0-8,0-8,7-8
Presbyterian,Big South,352,352,290,227,3-27,1-18,2-9,0-15,325,284,0-1,0-2,0-9,3-15
St. Francis Brooklyn,NEC,353,353,360,291,12-16,7-10,5-6,4-11,360,302,0-1,0-1,0-3,12-11
VMI,SoCon,354,354,220,202,4-25,2-17,2-8,1-14,293,322,0-0,0-3,0-12,4-10
Delaware St.,MEAC,355,355,277,220,5-23,4-12,1-11,2-14,213,60,0-4,0-1,0-7,5-11
Lamar University,Southland,356,356,343,256,6-22,5-13,1-9,2-12,346,239,0-1,0-1,0-4,6-16
Houston Christian,Southland,357,357,342,254,7-22,7-12,0-10,2-13,317,115,0-3,0-0,0-4,7-15
Mississippi Val.,SWAC,358,358,283,224,5-27,4-14,1-13,1-19,177,14,0-4,0-5,0-2,5-16
Florida A&M,SWAC,359,359,308,234,5-22,5-13,0-9,3-15,174,3,0-5,0-0,0-4,5-13
IU Indy,Horizon,360,360,293,228,3-27,2-19,1-8,0-15,306,254,0-2,0-1,0-8,3-16
Green Bay,Horizon,361,361,240,207,3-29,2-19,1-10,1-17,275,187,0-0,0-5,1-10,2-14
LIU,NEC,362,362,343,256,1-26,1-16,0-10,1-14,279,24,0-2,0-3,0-2,1-19
Hartford,DI Independent,363,363,347,257,2-23,0-0,2-23,0-11,354,355,0-0,0-2,0-5,2-16
